running_number,section,section_id,subsection,subsection_id,subsection_description,element,element_id,element_placeholder,element_type,details,details_open,suggestions,hide_if,bird_default,optional,inference,prediction,projection,version,odmap_v1,eval_sdmEvaluationTool,eval_araujo,eval_quant,omit
1,Overview,o,ASSUMPTIONS,o_assumptions,,Model assumptions,o_assumptions_1,List the major assumptions of the model and explain the implications for interpreting the results.,editable_dt,"There are many common assumptions across different types of SDMs. Please see <a href=""https://docs.google.com/spreadsheets/d/1U-gY4Z26WSbCTH-3E9MG_Bvh4-3aw94V0OCHMmQ-6u0/edit?usp=sharing"" target=""_blank"">this table</a> for a list of common assumptions and how they can be addressed. Gold standard (Araujo et al. 2020) is to demonstrate lack of violation of, or robustness to, assumptions relevant for technique being used. ",1,"assumption, implications for interpretation",,,0,1,1,1,v1,1,1,1,0,0
1,Overview,o,ALGORITHMS,o_algorithms,Identify model algorithms you used in implementation and provide some information about the complexity of your model.,Modelling techniques,o_algorithms_1,List the algorithm(s) used to create the model.,text_details,"E.g., Maxent, boosted regression trees.",0,,,,0,1,1,1,v1,1,1,1,0,0
2,Overview,o,ALGORITHMS,o_algorithms,,Model complexity,o_algorithms_2,Describe the main decisions shaping model complexity and how they align with the model objective and application.,text_details,"E.g., the model settings were chosen to yield complex response surfaces because our goal is to accurately map the potential species' distribution in the region and our model is based on a large enough sample size for calibrating such complex response surfaces. Gold standard (Araujo et al. 2020) is that the optimal level of complexity is decided by constructing models using an appropriate method to deal with model complexity (performing comparison with multiple lines of independent data for global explanation and projection models).",0,,,,0,1,1,1,v1,1,0,1,0,0
1,Overview,o,WORKFLOW,o_workflow,"Use this section to explain your main modelling approach, using a figure and/or complementary text.",Model workflow,o_workflow_1,Describe your modelling workflow or provide a diagram below.,text,Describe your modelling workflow or provide a diagram below.,0,,,,0,1,1,1,v1,1,1,1,0,0
2,Overview,o,WORKFLOW,o_workflow,,Model workflow figure,o_workflow_2,Upload workflow diagram,figure_upload,,0,,,,0,1,1,1,v2,0,1,1,0,0
1,Overview,o,SOFTWARE,o_software,"Identify software, packages and versions you used for model implementation.",Software,o_software_1,List modelling software packages and the versions used.,editable_dt,,0,"package name, version",,,0,1,1,1,v1,1,0,0,0,0
2,Overview,o,SOFTWARE,o_software,,Code availability,o_software_2,Provide a link to the model code repository.,text_details,"E.g., Github repository",0,,,,0,1,1,1,v1,1,0,0,0,0
3,Overview,o,SOFTWARE,o_software,,Data availability,o_software_3,Provide details on how to access model training data.,text_details,"Data repository, data request instructions, or rational for data privacy.",0,,,,0,1,1,1,v1,1,0,0,1,0
1,Data,d,BIODIVERSITY DATA,d_bio,,Taxonomic reference system,d_bio_3,What taxonomic reference system did you use for your data?,text,,0,,,Ontario Atlas 4-letter codes <https://www.birdsontario.org/species-codes/>,0,1,1,1,v1,1,0,0,0,0
2,Data,d,BIODIVERSITY DATA,d_bio,,Ecological level,d_bio_5,What level of taxonomic organization did you model?,suggestion,,0,"individuals, communities, populations, operational taxonomic units, species,",,,0,1,1,1,v1,1,0,0,0,0
3,Data,d,BIODIVERSITY DATA,d_bio,,Identification of taxa,d_bio_4,Describe the process for identification of taxa.,text_details,"E.g., data repositories, classification systems, accession date, database version, confidence in species IDs. Gold standard (Araujo et al. 2020) is IDs provided by experts, based on multiple lines of evidence, which can be examined.",0,,,,0,1,1,1,v2,0,0,1,0,0
4,Data,d,BIODIVERSITY DATA,d_bio,,Survey,d_bio_100,Describe observation data sources. ,editable_dt,"Data type should describe the type of survey (e.g. point count, ARU, checklist). Processing steps should include any clipping/masking, scaling (e.g., rasterisation of polygon maps, spatial and temporal thinning, measures to address spatial uncertainties), data cleaning or quality assurance steps that were carried out. ",0,"survey_name, survey_description, survey_data_type, data_source, access_date, processing_steps",,,0,1,1,1,v1,1,0,1,0,0
5,Data,d,BIODIVERSITY DATA,d_bio,,Unbiased species data,d_bio_101,Describe the sampling design and process for each data source.,editable_dt,"Examples of survey designs include random, uniform, stratified, opportunistic, and more complex possibilities (Tessarolo et al. 2014).  Gold standard (Araujo et al. 2020) is systematically designed surveys demonstrated to encompass the major environmental gradients occupied by the taxon, and spatial extent of the taxon's occurrence, within the study area.",0,"survey_name, design",,,0,1,1,1,v1,1,1,1,0,0
6,Data,d,BIODIVERSITY DATA,d_bio,,Spatial accuracy,d_bio_102,What is the spatial accuracy of the response data?,text_details,"Describe known and potential errors, and any efforts to verify (e.g. partial vetting) or improve (e.g. cleaning) geospatial accuracy. Gold standard (Araujo et al. 2020) is that all points are known to fall within the location to which they are assigned, and the spatial accuracy matches the spatial resolution of predictor variables.",0,,,,0,1,1,1,v2,0,0,1,0,0
7,Data,d,BIODIVERSITY DATA,d_bio,,Data integration,d_bio_7,Describe any combination or integration of data from multiple sources. ,text,,0,,,,1,1,1,1,v2,0,1,1,0,0
8,Data,d,BIODIVERSITY DATA,d_bio,,Response data type,d_bio_8,What was the value of your response variable?,suggestion,,0,"presence-only, presence/absence, point occurrence, counts, richness",,counts,0,1,1,1,v1,1,1,1,0,0
9,Data,d,BIODIVERSITY DATA,d_bio,,Background data,d_bio_9,Methods for selecting background data (pseudo-absences) used in your model,text,,0,,"d_bio_8!=""presence-only""",,0,1,1,1,v1,1,0,1,0,0
10,Data,d,BIODIVERSITY DATA,d_bio,,Errors and biases,d_bio_10,Describe any potential biases in your data and how they were addressed.,editable_dt,"E.g., detection probability, misidentification, sampling bias. Gold standard (Araujo et al. 2020) is to demonstrate that there are no geographical and environmental biases in response data, or that the model is fully corrected for bias in response data, tested by performing comparison with independent data.",0,"bias, how it was addressed",,,0,1,1,1,v1,1,1,1,0,0
11,Data,d,BIODIVERSITY DATA,d_bio,,Response in environmental extent,d_bio_11,"Was the response variable sampled across the full range of the taxon's environmental tolerances within the study area? If not, describe steps taken to avoid or flag extrapolation.",text_details,"Gold standard (Araujo et al. 2020) is that data cover the range of the taxon's environmental tolerances (within the study area for local explanation and prediction models). For projection models, no evolutionary changes in species environmental tolerances should have occurred in the projection space.",0,,,,0,1,1,1,v2,0,0,1,0,0
12,Data,d,BIODIVERSITY DATA,d_bio,,Response in geographic extent,d_bio_12,Was the geographic extent of the species within the study area thoroughly sampled?,text_details,"Gold standard (Araujo et al. 2020) is that samples are restricted to and inclusive of all regions of the study area (of the study area for local explanation and prediction models) that are suitable for the taxa to establish populations, and that are accessible to the taxon.",0,,,,0,1,1,1,v2,0,0,1,0,0
1,Data,d,DATA PARTITIONING,d_part,"Use this section to identify the methods you used for data partitioning (i.e., training and testing) in your model implementation.",Method used for data partitioning,d_part_1,Describe any methods used for data partitioning.,text_details,"E.g., K-fold cross-validation, or block based cross-validation to account for data structure (see <a href=""https://doi.org/10.1111/ecog.02881""  target=""_blank"">Roberts et al. 2016</a>). Gold standard (Araujo et al. 2020) is that model evaluation is done against multiple independent datasets (for local explanation and prediction models, from training data). For global explanation and projection models, evaluation can also be done via corroboration with experimental testing.",0,,"o_objective_1==""Inference and explanation""",,0,0,1,1,v1,1,1,1,0,0
2,Data,d,DATA PARTITIONING,d_part,Use this section to identify the independent data set you used to test your model (if any).,Test data,d_part_2,"Describe any independent data used to test your model (i.e., data excluded from model fitting).",text,,0,,"o_objective_1==""Inference and explanation""",,1,0,1,1,v1,1,1,1,0,0
1,Data,d,PREDICTOR DATA,d_pred,,Predictors,d_pred_100,Predictors,editable_dt,"Describe the data sets used as predictors in the model. The category describes the overarching category for grouping predictors (e.g. Climate, Landcover, Disturbances, Topography, etc.). Provide a brief description of processing steps applied to data before use in the model (e.g. upscaling/downscaling, transformations, normalisations, thematic aggregations (e.g. of land cover classes), measures to address spatial uncertainties). Gold standard (Araujo et al. 2020) is that variables are directly measured at the temporal and spatial resolution at which multiple lines of evidence demonstrate that the taxon responds.",0,"short_label, full_name, description, native_resolution, temporal_extent, temporal_resolution, category, data_source, access_date, processing_steps, accuracy",,,0,1,1,1,v1,1,0,1,0,0
2,Data,d,PREDICTOR DATA,d_pred,,Uncertainty in predictor variables,d_pred_4,"Describe uncertainty, bias or errors in the predictor variables and potential implications for model results.",text_details,"Gold standard (Araujo et al. 2020) is that all sources of uncertainty in the predictors and their effects on model results are quantified, mapped, and interpreted.",0,,,,0,1,1,1,v1,1,1,1,0,0
3,Data,d,PREDICTOR DATA,d_pred,,Predictor variables rationale,d_pred_2,Describe the rationale for predictor variables included in your model.,text_details,"E.g., Predictors that are known or hypothesized to be critical for a species' survival, reproduction, and dispersal; Predictors believed to help define the species' ecological niche, the environmental conditions within which it can persist; Predictors that were available across the geographic area of interest.",0,,,,0,1,1,1,v2,0,1,1,0,0
4,Data,d,PREDICTOR DATA,d_pred,,Quantification of Novelty,d_pred_3,Describe any quantification of novel environmental conditions.,text_details,"Environmental novelty (e.g., distance to training data) should be assessed for models that are being projected because the transfer data may include conditions not present in the calibration data (i.e. in non-analogue situations) and, thus, the calibrated model may be forced to extrapolate.",0,,"o_objective_1 %in% c(""Inference and explanation"", ""Mapping and interpolation"")",,0,0,0,1,v1,1,0,1,0,0
4,Data,m,PREDICTOR DATA,d_pred,,Multicollinearity,m_multicol_1,Describe any methods used to identify and address multicollinearity in predictor variables.,text_details,"See <a href=""https://doi.org/10.1111/j.1600-0587.2012.07348.x"" target=""_blank"">Dormann et al. 2013</a> for a discussion of different approaches. Gold standard (Araujo et al. 2020) is to demonstrate that there is no collinearity in data, or that model construction is informed by a full mechanistic understanding of interactions among predictor variables so that the model is insensitive to collinearity.",0,,,,0,1,1,1,v1,1,0,1,0,0
5,Data,m,PREDICTOR DATA,d_pred,,Variable pre-selection,m_preselect_1,Were any additional criteria used for predictor variable selection?,text,,0,,,,1,1,1,1,v1,1,0,1,0,0
1,Model,m,MODEL SETTINGS,m_settings,,Model settings (fitting),m_settings_1,List main model settings used.,text_details,"E.g., Boosted regression tree depth = 3.",0,,,,0,1,1,1,v1,1,0,1,0,0
2,Model,m,MODEL SETTINGS,m_settings,,Model settings (extrapolation),m_settings_2,Describe any approaches used to address extrapolation beyond sample range.,text_details,"E.g., Clamping.",0,,"o_objective_1 %in% c(""Inference and explanation"", ""Mapping and interpolation"")",,0,0,0,1,v1,1,0,1,0,0
1,Model,m,MODEL ESTIMATES,m_estim,,Coefficients,m_estim_1,Describe methods for summarizing and interpreting model coefficients.,text_details,"E.g., Median or mean of the posterior distribution, credible/confidence intervals.",0,,,,0,1,1,1,v1,1,0,1,0,0
2,Model,m,MODEL ESTIMATES,m_estim,,Parameter uncertainty,m_estim_2,Describe any methods used to quantify parameter uncertainty.,text_details,"E.g., Resampling. Gold standard (Araujo et al. 2020) is that all source and patterns of uncertainty have been comprehensively characterized and discussed.",0,,,,1,1,1,1,v1,1,0,1,0,0
3,Model,m,MODEL ESTIMATES,m_estim,,Variable importance,m_estim_3,Describe how variable importance was assessed.,text_details,"E.g., Percent deviance explained, relative variable influence, statistical significance.",0,,,,1,1,1,1,v1,1,1,1,0,0
1,Model,m,MODEL SELECTION AND AVERAGING,m_selection,,Model selection,m_selection_1,Describe any methods used for model selection.,text_details,"E.g., Information-theoretic approach for variable selection, shrinkage and regularization.",0,,,,1,1,1,1,v1,1,1,1,0,0
2,Model,m,MODEL SELECTION AND AVERAGING,m_selection,,Model averaging,m_selection_2,Did you use model averaging/ensemble modelling?,option,,0,", yes, no",,,0,1,1,1,v1,1,1,1,0,0
3,Model,m,MODEL SELECTION AND AVERAGING,m_selection,,Model averaging method,m_selection_3,Describe any methods used for model averaging.,text_details,"E.g., Derivation of weights, mean across bootstraps.",0,,"m_selection_2==""No""",,1,1,1,1,v1,1,1,1,0,0
4,Model,m,MODEL SELECTION AND AVERAGING,m_selection,,Model ensembles,m_selection_4,Describe any methods used for model ensembling.,text_details,"E.g., Information-theoretic approach for variable selection, shrinkage and regularization.",0,,"m_selection_2==""No""",,1,1,1,1,v1,1,1,1,0,0
1,Model,m,NON-INDEPENDENCE,m_depend,,Spatial autocorrelation,m_depend_1,Describe any methods used for addressing spatial autocorrelation.,text,,0,,,,0,1,1,1,v1,1,1,1,0,0
2,Model,m,NON-INDEPENDENCE,m_depend,,Temporal autocorrelation,m_depend_2,Describe any methods used for addressing temporal autocorrelation.,text,,0,,,,1,1,1,1,v1,1,1,1,0,0
3,Model,m,NON-INDEPENDENCE,m_depend,,Nested data,m_depend_3,Describe any methods used for addressing nested sampling.,text_details,"E.g., Random effects.",0,,,,1,1,1,1,v1,1,1,1,0,0
1,Model,m,THRESHOLD SELECTION,m_threshold,,Threshold selection,m_threshold_1,Describe any methods used for selecting thresholds to transform continuous predictions into binary predictions.,text,,0,,"o_objective_1==""Inference and explanation""",,0,0,1,1,v1,1,1,1,0,0
1,Prediction,p,PREDICTIONS,p_output,,Post-processing,p_output_1,Describe any post-processing steps applied to model predictions.,text_details,"E.g., Clipping, reprojection, mosaicing, compositing.",0,,"o_objective_1==""Inference and explanation""",,1,0,1,1,v1,1,1,1,0,0
1,Prediction,p,UNCERTAINTY,p_uncertainty,,Novel environments,p_output_2,Describe any post-processing steps related to prediction uncertainty. Gold standard (Araujo et al. 2020) is that all source and patterns of uncertainty have been comprehensively characterized and discussed.,text_details,"E.g., masking of areas without training data or highlighting predictions to novel environments.",0,,"o_objective_1 %in% c(""Inference and explanation"", ""Mapping and interpolation"")",,0,0,0,1,v1,1,1,1,0,0
2,Prediction,p,UNCERTAINTY,p_uncertainty,,Algorithmic uncertainty,p_uncertainty_1,Describe any efforts to quantify uncertainty about model structure or model fitting method.,text_details,"E.g., comparison of different models or combining predictions from multiple models in ensembles. Gold standard (Araujo et al. 2020) is that all source and patterns of uncertainty have been comprehensively characterized and discussed.",0,,"o_objective_1==""Inference and explanation""",,1,0,1,1,v1,1,1,1,0,0
3,Prediction,p,UNCERTAINTY,p_uncertainty,,Input data uncertainty,p_uncertainty_2,Describe any exploration of the effects of training data on model uncertainty.,text_details,E.g. Comparing model results based on different subsets of the training data or incorporating a measure of the confidence in the input data into the model. Gold standard (Araujo et al. 2020) is that all source and patterns of uncertainty have been comprehensively characterized and discussed.,0,,"o_objective_1==""Inference and explanation""",,1,0,1,1,v1,1,1,1,0,0
4,Prediction,p,UNCERTAINTY,p_uncertainty,,Parameter uncertainty,p_uncertainty_3,Describe any exploration of the effects of parameter uncertainty on model uncertainty.,text_details,E.g. Error propagation via bootstrapping or within Bayesian frameworks or mapping prediction uncertainty along with predictions. Gold standard (Araujo et al. 2020) is that all source and patterns of uncertainty have been comprehensively characterized and discussed.,0,,"o_objective_1==""Inference and explanation""",,1,0,1,1,v1,1,1,1,0,0
5,Prediction,p,UNCERTAINTY,p_uncertainty,,Scenario uncertainty,p_uncertainty_4,Describe any use of multiple scenarios to understand uncertainty in future projections.,text_details,"E.g., Climate models, land use models, storylines. Gold standard (Araujo et al. 2020) is that all source and patterns of uncertainty have been comprehensively characterized and discussed.",0,,"o_objective_1 %in% c(""Inference and explanation"", ""Mapping and interpolation"")",,0,0,0,1,v1,1,1,1,0,0
1,Prediction,p,PERFORMANCE METRICS,p_metrics,,Performance metric rationale.,p_metrics_1,"Describe the performance metrics used, and the rationale for using them.",text_details,"Gold standard (Araujo et al. 2020) is that measures of performance exhaustively summarize goodness of fit and discrimination, and patterns of uncertainty have been comprehensively characterized. ",0,,,,1,1,1,1,v2,0,1,1,0,0
2,Prediction,p,PERFORMANCE METRICS,p_metrics,,Performance,p_metrics_100,Model performance metrics,editable_dt,"List metrics used to evaluate the model, the type of data used for evalation (i.e. training, validation/partition, or independent) and the metric score. The best score should indicate whether the goal is to minimize or maximize the metric and what the best possible score would be (e.g. 0, 1, Inf) ",0,"metric_name, evaluation_data_type, score, best_score",,,0,1,1,1,v1,1,0,1,0,0
1,Prediction,p,PLAUSIBILITY CHECK,p_plausibility,,Expert judgement,p_plausibility_1,Describe any steps taken to validate the model results with experts.,text_details,"Expert judgements, e.g. map display",0,,"o_objective_1==""Inference and explanation""",The model will be assessed by a group of taxonomic and modelling experts from the NOBMWG,0,0,1,1,v1,1,0,0,0,0
1,Spatial,s,Metadata for spatial files,s_meta,,Species,s_meta_2,Species modelled,editable_dt,List the species that are included in the response data. The species code should follow the Birds Canada standard 4 letter codes,0,"species_code, common_name, scientific_name",,,0,1,1,1,v1,1,1,1,0,0
2,Spatial,s,Metadata for spatial files,s_meta,,Projection data,s_meta_4,Projection data that predictions are made on,editable_dt,"Optionally, describe the data used to make projections into the future or new locations. This table is the same as for predictors but can also include multiple versions of the same data set  (e.g. emissions scenarios or GCMs for climate data). Include abbreviations if any are used in the labels",0,"short_label, full_name, description, versions_used, native_resolution, temporal_extent, temporal_resolution, category, data_source, access_date",,,0,1,1,1,v1,1,1,1,0,0
